东北财经大学,大连市,否,否,是,财经类院校,辽宁省教育厅,大学
南方医科大学,广州市,否,否,是,医药类院校,广东省教育厅,大学
青岛大学,青岛市,否,否,是,综合类院校,山东省教育厅,大学
长沙理工大学,长沙市,否,否,是,工科类院校,湖南省教育厅,大学
天津医科大学,天津市,是,否,是,医药类院校,天津市教育委员会,大学
中国药科大学,南京市,是,否,是,医药类院校,教育部,大学
北京中医药大学,北京市,是,否,是,医药类院校,教育部,大学
浙江工商大学,杭州市,否,否,是,财经类院校,浙江省教育厅,大学
福建农林大学,福州市,否,否,是,农业类院校,福建省教育厅,大学
江西师范大学,南昌市,否,否,是,师范类院校,江西省教育厅,大学
哈尔滨医科大学,哈尔滨市,否,否,是,医药类院校,黑龙江省教育厅,大学
西北师范大学,兰州市,否,否,是,师范类院校,甘肃省教育厅,大学
南京邮电大学,南京市,否,否,是,综合类院校,江苏省教育厅,大学
南京医科大学,南京市,否,否,是,医药类院校,江苏省教育厅,大学
西南政法大学,重庆市,否,否,是,政法类院校,重庆市教育委员会,大学
中国地质大学(北京),北京市,是,否,是,工科类院校,教育部,大学
湖北大学,武汉市,否,否,是,综合类院校,湖北省教育厅,大学
山东农业大学,泰安市,否,否,是,农业类院校,山东省教育厅,大学
海南大学,海口市,是,否,是,综合类院校,海南省教育厅,大学
武汉科技大学,武汉市,否,否,是,工科类院校,湖北省教育厅,大学
内蒙古大学,呼和浩特市,是,否,是,综合类院校,内蒙古自治区教育厅,大学
云南师范大学,昆明市,否,否,是,师范类院校,云南省教育厅,大学
西安建筑科技大学,西安市,否,否,是,工科类院校,陕西省教育厅,大学
贵州大学,贵阳市,是,否,是,综合类院校,贵州省教育厅,大学
江西财经大学,南昌市,否,否,是,财经类院校,江西省教育厅,大学
华侨大学,泉州市,否,否,是,综合类院校,国务院侨务办公室,大学
汕头大学,汕头市,否,否,是,综合类院校,广东省教育厅,大学
东北农业大学,哈尔滨市,是,否,是,农业类院校,黑龙江省教育厅,大学
中国医科大学,沈阳市,否,否,是,医药类院校,辽宁省教育厅,大学
四川农业大学,雅安市,是,否,是,农业类院校,四川省教育厅,大学
广西师范大学,桂林市,否,否,是,师范类院校,广西壮族自治区教育厅,大学
河南农业大学,郑州市,否,否,是,农业类院校,河南省教育厅,大学
上海中医药大学,上海市,否,否,是,医药类院校,上海市教育委员会,大学
杭州师范大学,杭州市,否,否,是,师范类院校,浙江省教育厅,大学
湖南农业大学,长沙市,否,否,是,农业类院校,湖南省教育厅,大学
广东外语外贸大学,广州市,否,否,是,语言类院校,广东省教育厅,大学
中国矿业大学(北京),北京市,是,否,是,工科类院校,教育部,大学
广州大学,广州市,否,否,是,综合类院校,广东省教育厅,大学
浙江理工大学,杭州市,否,否,是,工科类院校,浙江省教育厅,大学
河北工业大学,天津市,是,否,是,工科类院校,河北省教育厅,大学
河南师范大学,新乡市,否,否,是,师范类院校,河南省教育厅,大学
山东科技大学,泰安市,否,否,是,综合类院校,山东省教育厅,大学
南京林业大学,南京市,否,否,是,林业类院校,江苏省教育厅,大学
广东工业大学,广州市,否,否,是,工科类院校,广东省教育厅,大学
河北师范大学,石家庄市,否,否,是,师范类院校,河北省教育厅,大学
西安理工大学,西安市,否,否,是,工科类院校,陕西省教育厅,大学
南京信息工程大学,南京市,否,否,是,工科类院校,江苏省教育厅,大学
首都经济贸易大学,北京市,否,否,是,财经类院校,北京市教育委员会,大学
成都理工大学,成都市,否,否,是,工科类院校,四川省教育厅,学院
北京语言大学,北京市,否,否,是,语言类院校,教育部,大学
华东政法大学,上海市,否,否,是,政法类院校,上海市教育委员会,大学
天津工业大学,天津市,否,否,是,工科类院校,天津市教育委员会,大学
中北大学,太原市,否,否,是,工科类院校,山西省教育厅,大学
重庆医科大学,重庆市,否,否,是,医药类院校,重庆市教育委员会,大学
长春理工大学,长春市,否,否,是,工科类院校,吉林省教育厅,大学
河北农业大学,保定市,否,否,是,农业类院校,河北省教育厅,大学
济南大学,济南市,否,否,是,综合类院校,山东省教育厅,大学
青岛科技大学,青岛市,否,否,是,工科类院校,山东省教育厅,大学
中南民族大学,武汉市,否,否,是,民族类院校,国家民族事务委员会,大学
江苏师范大学,徐州市,否,否,是,师范类院校,江苏省教育厅,大学
东北电力大学,吉林市,否,否,是,工科类院校,吉林省教育厅,大学
宁夏大学,银川市,是,否,是,综合类院校,宁夏回族自治区教育厅,大学
重庆邮电大学,重庆市,否,否,是,工科类院校,重庆市教育委员会,大学
河南科技大学,洛阳市,否,否,是,工科类院校,河南省教育厅,大学
沈阳农业大学,沈阳市,否,否,是,农业类院校,辽宁省教育厅,大学
哈尔滨理工大学,哈尔滨市,否,否,是,工科类院校,黑龙江省教育厅,大学
河南工业大学,郑州市,否,否,是,工科类院校,河南省教育厅,大学
温州医科大学,温州市,否,否,是,医药类院校,浙江省教育厅,学院
延边大学,延边朝鲜族自治州,是,否,是,综合类院校,教育部,大学
中国计量大学,杭州市,否,否,是,工科类院校,浙江省教育厅,学院
四川师范大学,成都市,否,否,是,师范类院校,四川省教育厅,大学
兰州交通大学,兰州市,否,否,是,工科类院校,甘肃省教育厅,大学
云南民族大学,昆明市,否,否,是,民族类院校,云南省教育厅,大学
南京中医药大学,南京市,否,否,是,医药类院校,江苏省教育厅,大学
西南石油大学,成都市,否,否,是,工科类院校,四川省教育厅,大学
湖南科技大学,湘潭市,否,否,是,综合类院校,湖南省教育厅,大学
重庆交通大学,重庆市,否,否,是,工科类院校,重庆市教育委员会,大学
大连大学,大连市,否,否,是,综合类院校,辽宁省教育厅,大学
哈尔滨师范大学,哈尔滨市,否,否,是,师范类院校,黑龙江省教育厅,大学
广州中医药大学,广州市,否,否,是,医药类院校,广东省教育厅,大学
云南农业大学,昆明市,否,否,是,农业类院校,云南省教育厅,大学
长江大学,荆州市,否,否,是,综合类院校,湖北省教育厅,大学
河南理工大学,焦作市,否,否,是,工科类院校,河南省教育厅,大学
辽宁师范大学,大连市,否,否,是,师范类院校,辽宁省教育厅,大学
西南民族大学,成都市,否,否,是,民族类院校,国家民族事务委员会,大学
山东理工大学,淄博市,否,否,是,工科类院校,山东省教育厅,大学
曲阜师范大学,济宁市,否,否,是,师范类院校,山东省教育厅,大学
西安科技大学,西安市,否,否,是,工科类院校,陕西省教育厅,大学
温州大学,温州市,否,否,是,工科类院校,浙江省教育厅,大学
兰州理工大学,兰州市,否,否,是,工科类院校,甘肃省教育厅,大学
南通大学,南通市,否,否,是,综合类院校,江苏省教育厅,大学
天津中医药大学,天津市,否,否,是,医药类院校,天津市教育委员会,大学
内蒙古农业大学,呼和浩特市,否,否,是,农业类院校,内蒙古自治区教育厅,大学
北京工商大学,北京市,否,否,是,综合类院校,北京市教育委员会,大学
三峡大学,宜昌市,否,否,是,综合类院校,湖北省教育厅,大学
天津科技大学,天津市,否,否,是,工科类院校,天津市教育委员会,大学
安徽农业大学,合肥市,否,否,是,农业类院校,安徽省教育厅,大学
东北石油大学,大庆市,否,否,是,工科类院校,黑龙江省教育厅,大学
上海海事大学,上海市,否,否,是,工科类院校,上海市教育委员会,大学
辽宁工程技术大学,阜新市,否,否,是,工科类院校,辽宁省教育厅,大学
天津理工大学,天津市,否,否,是,工科类院校,天津市教育委员会,大学
新疆农业大学,乌鲁木齐市,否,否,是,农业类院校,新疆维吾尔自治区教育厅,大学
中南林业科技大学,长沙市,否,否,是,林业类院校,湖南省教育厅,大学
沈阳工业大学,沈阳市,否,否,是,工科类院校,辽宁省教育厅,大学
安徽理工大学,淮南市,否,否,是,工科类院校,安徽省教育厅,大学
吉林农业大学,长春市,否,否,是,农业类院校,吉林省教育厅,大学
安徽工业大学,马鞍山市,否,否,是,工科类院校,安徽省教育厅,大学
内蒙古师范大学,呼和浩特市,否,否,是,师范类院校,内蒙古自治区教育厅,大学
上海海洋大学,上海市,否,否,是,农业类院校,上海市教育委员会,大学
安徽财经大学,合肥市,否,否,是,财经类院校,安徽省教育厅,大学
天津财经大学,天津市,否,否,是,财经类院校,天津市教育委员会,大学
安徽医科大学,合肥市,否,否,是,医药类院校,安徽省教育厅,大学
成都中医药大学,成都市,否,否,是,医药类院校,四川省教育厅,大学
大连医科大学,大连市,否,否,是,医药类院校,辽宁省教育厅,大学
西藏大学,拉萨市,是,否,是,综合类院校,西藏自治区教育厅,大学
湖北工业大学,武汉市,否,否,是,工科类院校,湖北省教育厅,大学
桂林电子科技大学,桂林市,否,否,是,工科类院校,广西壮族自治区教育厅,大学
西南科技大学,绵阳市,否,否,是,工科类院校,四川省教育厅,大学
江西农业大学,南昌市,否,否,是,农业类院校,江西省教育厅,大学
广西民族大学,南宁市,否,否,是,民族类院校,广西壮族自治区教育厅,大学
贵州师范大学,贵阳市,否,否,是,师范类院校,贵州省教育厅,大学
山东财经大学,济南市,否,否,是,财经类院校,财政部教育部山东省人民政府,大学
江西理工大学,赣州市,否,否,是,工科类院校,江西省教育厅,大学
重庆师范大学,重庆市,否,否,是,师范类院校,重庆市教育委员会,大学
西北民族大学,兰州市,否,否,是,民族类院校,国家民族事务委员会,大学
沈阳药科大学,沈阳市,否,否,是,医药类院校,辽宁省教育厅,大学
浙江财经大学,杭州市,否,否,是,财经类院校,浙江省教育厅,学院
新疆医科大学,乌鲁木齐市,否,否,是,医药类院校,新疆维吾尔自治区教育厅,大学
新疆师范大学,乌鲁木齐市,否,否,是,师范类院校,新疆维吾尔自治区教育厅,大学
烟台大学,烟台市,否,否,是,综合类院校,山东省教育厅,大学
陕西科技大学,西安市,否,否,是,工科类院校,陕西省教育厅,大学
甘肃农业大学,兰州市,否,否,是,农业类院校,甘肃省教育厅,大学
青岛理工大学,青岛市,否,否,是,工科类院校,山东省教育厅,大学
华东交通大学,南昌市,否,否,是,工科类院校,江西省教育厅,大学
集美大学,厦门市,否,否,是,综合类院校,福建省教育厅,大学
河北医科大学,石家庄市,否,否,是,医药类院校,河北省教育厅,大学
黑龙江中医药大学,哈尔滨市,否,否,是,医药类院校,黑龙江省教育厅,大学
大连工业大学,大连市,否,否,是,工科类院校,辽宁省教育厅,大学
重庆工商大学,重庆市,否,否,是,综合类院校,重庆市教育委员会,大学
浙江农林大学,杭州市,否,否,是,林业类院校,浙江省教育厅,大学
山西师范大学,临汾市,否,否,是,师范类院校,山西省教育厅,大学
石家庄铁道大学,石家庄市,否,否,是,工科类院校,河北省教育厅,大学
南京财经大学,南京市,否,否,是,财经类院校,江苏省教育厅,大学
河北科技大学,石家庄市,否,否,是,工科类院校,河北省教育厅,大学
南华大学,衡阳市,否,否,是,综合类院校,湖南省教育厅,大学
南昌航空大学,南昌市,否,否,是,工科类院校,江西省教育厅,大学
武汉纺织大学,武汉市,否,否,是,工科类院校,湖北省教育厅,大学
桂林理工大学,桂林市,否,否,是,工科类院校,广西壮族自治区教育厅,大学
沈阳师范大学,沈阳市,否,否,是,师范类院校,辽宁省教育厅,大学
景德镇陶瓷大学,景德镇市,否,否,是,工科类院校,江西省教育厅,学院
哈尔滨商业大学,哈尔滨市,否,否,是,财经类院校,黑龙江省教育厅,大学
中国民航大学,天津市,否,否,是,工科类院校,中国民用航空总局,大学
东华理工大学,抚州市,否,否,是,工科类院校,江西省教育厅,大学
长春工业大学,长春市,否,否,是,工科类院校,吉林省教育厅,大学
沈阳建筑大学,沈阳市,否,否,是,工科类院校,辽宁省教育厅,大学
北华大学,吉林市,否,否,是,综合类院校,吉林省教育厅,大学
浙江海洋大学,舟山市,否,否,是,农业类院校,浙江省教育厅,学院
武汉工程大学,武汉市,否,否,是,工科类院校,湖北省教育厅,大学
江苏科技大学,镇江市,否,否,是,工科类院校,江苏省教育厅,大学
青海大学,西宁市,是,否,是,综合类院校,青海省教育厅,大学
北京建筑大学,北京市,否,否,是,工科类院校,北京市教育委员会,学院
广西医科大学,南宁市,否,否,是,医药类院校,广西壮族自治区教育厅,大学
华北理工大学,唐山市,否,否,是,工科类院校,河北省人民政府,大学
东莞理工学院,东莞市,否,否,是,工科类院校,广东省教育厅,学院
常州大学,常州市,否,否,是,工科类院校,江苏省教育厅,大学
上海对外经贸大学,上海市,否,否,是,财经类院校,上海市教育委员会,学院
