张家口市,河北,4315,124.7,433.77,95.64,99.80
忻州市,山西,1982,54.8,183.00,27.45,36.00
周口市,河南,269,56.1,100.00,34.96,70.20
运城市,山西,640,65.0,88.90,39.00,66.00
丹东市,辽宁,874,78.0,226.11,60.81,77.14
玉林市,广西,1251,110.4,302.04,55.38,69.60
龙岩市,福建,4901,100.6,200.00,41.30,61.65
鸡西市,黑龙江,2300,83.2,80.61,70.28,80.61
钦州市,广西,4767,147.7,354.38,32.92,90.50
玉溪市,云南,1867,78.6,99.70,34.82,38.42
贺州市,广西,5677,119.5,78.00,22.55,31.43
枣庄市,山东,3076,241.8,349.46,95.26,151.20
平顶山市,河南,443,112.4,260.03,93.12,73.40
南平市,福建,6045,84.9,199.51,29.41,41.24
达州市,四川,3462,182.8,159.00,50.85,76.71
宿州市,安徽,2868,190.5,164.51,49.11,79.00
白城市,吉林,2569,49.3,67.50,27.22,43.18
赤峰市,内蒙古,7076,138.7,560.00,87.86,106.07
安顺市,贵州,2703,118.7,145.88,41.93,67.66
河池市,广西,2340,42.9,80.00,20.04,23.85
安康市,陕西,3644,100.8,160.00,32.26,45.00
攀枝花市,四川,2048,70.9,373.13,58.77,76.00
渭南市,陕西,2390,130.3,267.00,52.13,65.86
乌兰察布市,内蒙古,420,31.7,60.00,25.67,60.00
衢州市,浙江,2354,85.1,200.10,29.76,71.30
榆林市,陕西,11096,96.4,179.00,35.76,78.38
本溪市,辽宁,1518,92.5,1518.00,87.80,109.00
池州市,安徽,2432,66.8,252.93,27.25,36.93
通化市,吉林,745,44.1,64.75,44.09,54.81
黑河市,黑龙江,14446,19.9,27.88,13.74,20.00
菏泽市,山东,2261,231.2,444.56,83.81,124.65
崇左市,广西,2951,37.5,50.00,17.50,30.00
呼伦贝尔市,内蒙古,1519,30.4,252.00,29.71,59.46
荆门市,湖北,2252,73.7,248.70,44.82,63.48
铜仁市,贵州,1854,49.8,53.30,32.78,37.55
衡水市,河北,1510,78.3,401.40,55.78,75.59
沧州市,河北,183,65.2,183.00,54.52,73.16
泰州市,江苏,1567,164.0,441.44,83.88,114.60
